,ID,Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,Community Area,Year,Updated On,Latitude,Longitude,Location,Zip Codes,zip_code
1673,9444946,HW589023,12/30/2013 01:32:00 PM,028XX W ROOSEVELT RD,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,29,2013,02/10/2018 03:50:01 PM,41.866487235,-87.697671823,"(41.866487235, -87.697671823)",21569.0,60612
1674,9444981,HW588990,12/30/2013 01:30:00 PM,066XX S MORGAN ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,68,2013,02/10/2018 03:50:01 PM,41.773582997,-87.649487456,"(41.773582997, -87.649487456)",21559.0,60620
1675,9444926,HW589025,12/30/2013 01:30:00 PM,047XX W 63RD ST,CRIMINAL TRESPASS,TO LAND,RESTAURANT,True,False,64,2013,02/10/2018 03:50:01 PM,41.778438407,-87.741565994,"(41.778438407, -87.741565994)",21867.0,60638
1676,9444815,HW588971,12/30/2013 01:26:00 PM,056XX W WASHINGTON BLVD,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,25,2013,02/10/2018 03:50:01 PM,41.88220595,-87.767368945,"(41.88220595, -87.767368945)",22216.0,60644
1677,9444938,HW589034,12/30/2013 01:25:00 PM,006XX E PERSHING RD,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,36,2013,02/10/2018 03:50:01 PM,41.823904487,-87.611302258,"(41.823904487, -87.611302258)",4301.0,60653
1678,9444934,HW588976,12/30/2013 01:20:00 PM,041XX W 13TH ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,29,2013,02/10/2018 03:50:01 PM,41.864302548,-87.72810193,"(41.864302548, -87.72810193)",21569.0,60623
1679,9444962,HW588992,12/30/2013 01:20:00 PM,014XX S SAWYER AVE,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,29,2013,02/10/2018 03:50:01 PM,41.862017398,-87.706761584,"(41.862017398, -87.706761584)",21569.0,60623
1680,9444975,HW588998,12/30/2013 01:20:00 PM,070XX S SANGAMON ST,THEFT,$500 AND UNDER,RESIDENCE,False,False,68,2013,02/10/2018 03:50:01 PM,41.766159533,-87.648081733,"(41.766159533, -87.648081733)",21559.0,60621
1681,9444930,HW588987,12/30/2013 01:10:00 PM,001XX N MENARD AVE,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,RESIDENCE PORCH/HALLWAY,True,False,25,2013,02/10/2018 03:50:01 PM,41.882843837,-87.769849433,"(41.882843837, -87.769849433)",22216.0,60651
1682,9445195,HW589126,12/30/2013 01:00:00 PM,073XX S STONY ISLAND AVE,ROBBERY,STRONGARM - NO WEAPON,RESTAURANT,False,False,43,2013,02/10/2018 03:50:01 PM,41.761179816,-87.586198524,"(41.761179816, -87.586198524)",22538.0,60649
1683,9444787,HW588949,12/30/2013 01:00:00 PM,032XX W WALNUT ST,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,27,2013,02/10/2018 03:50:01 PM,41.88539198,-87.706588331,"(41.88539198, -87.706588331)",21572.0,60624
1684,9963431,HY151517,12/30/2013 01:00:00 PM,046XX N CUMBERLAND AVE,THEFT,FROM BUILDING,BANK,False,False,76,2013,02/10/2018 03:50:01 PM,41.963942595,-87.836691297,"(41.963942595, -87.836691297)",4453.0,60656
1685,9444888,HW588994,12/30/2013 01:00:00 PM,0000X E 103RD PL,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,49,2013,02/10/2018 03:50:01 PM,41.706291905,-87.621372342,"(41.706291905, -87.621372342)",21861.0,60628
1686,9445497,HW589656,12/30/2013 01:00:00 PM,061XX N KENMORE AVE,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,77,2013,02/10/2018 03:50:01 PM,41.993015414,-87.656902805,"(41.993015414, -87.656902805)",4451.0,60660
1687,9444943,HW588945,12/30/2013 12:50:00 PM,034XX N WESTERN AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,5,2013,02/10/2018 03:50:01 PM,41.943552694,-87.688162342,"(41.943552694, -87.688162342)",21538.0,60618
1688,9445008,HW589093,12/30/2013 12:50:00 PM,065XX S CAMPBELL AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,66,2013,02/10/2018 03:50:01 PM,41.774922222,-87.685961766,"(41.774922222, -87.685961766)",21867.0,60629
1689,9444769,HW588936,12/30/2013 12:48:00 PM,017XX N WESTERN AVE,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,24,2013,02/10/2018 03:50:01 PM,41.912938704,-87.687287721,"(41.912938704, -87.687287721)",22535.0,60647
1690,9445299,HW589473,12/30/2013 12:47:00 PM,048XX W SCHUBERT AVE,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,19,2013,02/10/2018 03:50:01 PM,41.929704103,-87.747839585,"(41.929704103, -87.747839585)",22615.0,60639
1691,9445165,HW589332,12/30/2013 12:45:00 PM,018XX W 87TH ST,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,False,71,2013,02/10/2018 03:50:01 PM,41.735716213,-87.668508999,"(41.735716213, -87.668508999)",21554.0,60620
1692,9444840,HW588964,12/30/2013 12:43:00 PM,043XX W CERMAK RD,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,29,2013,02/10/2018 03:50:01 PM,41.851407502,-87.733901697,"(41.851407502, -87.733901697)",21569.0,60623
1693,9445031,HW588930,12/30/2013 12:41:00 PM,080XX S MARSHFIELD AVE,BURGLARY,FORCIBLE ENTRY,APARTMENT,True,False,71,2013,02/10/2018 03:50:01 PM,41.74769157,-87.664585338,"(41.74769157, -87.664585338)",21554.0,60620
1694,9444988,HW588957,12/30/2013 12:40:00 PM,055XX W GLADYS AVE,ROBBERY,AGGRAVATED,TAXICAB,False,False,25,2013,02/10/2018 03:50:01 PM,41.875656674,-87.762631304,"(41.875656674, -87.762631304)",22216.0,60644
1695,9493626,HX147595,12/30/2013 12:40:00 PM,054XX S WENTWORTH AVE,THEFT,FINANCIAL ID THEFT: OVER $300,DEPARTMENT STORE,True,False,37,2013,02/10/2018 03:50:01 PM,41.795991039,-87.630542489,"(41.795991039, -87.630542489)",14924.0,60609
1696,9445077,HW588892,12/30/2013 12:35:00 PM,040XX W ARMITAGE AVE,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,VEHICLE NON-COMMERCIAL,True,False,20,2013,02/10/2018 03:50:01 PM,41.917143896,-87.728278963,"(41.917143896, -87.728278963)",22615.0,60651
1697,9444860,HW588954,12/30/2013 12:30:00 PM,026XX W SEIPP ST,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,70,2013,02/10/2018 03:50:01 PM,41.737807055,-87.688679591,"(41.737807055, -87.688679591)",4300.0,60652
1698,9445086,HW589003,12/30/2013 12:30:00 PM,019XX N FRANCISCO AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,22,2013,02/10/2018 03:50:01 PM,41.916273866,-87.699268607,"(41.916273866, -87.699268607)",22535.0,60647
