geography_type,year,geography,total,age_0-17,age_18-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,age_80+,age_0-4,age_5-11,age_12-17,age_5+,age_18+,age_65+,female,male,latinx,asian_non-latinx,black_non-latinx,white_non-latinx,other_race_non-latinx
Zip Code,2020,60602,1596,115,332,860,191,81,17,0,0,49,66.0,0.0,1547,1481,4,744,852,120,435.0,37.0,794,210.0
Zip Code,2020,60603,1186,15,423,248,68,176,146,91,19,3,3.0,9.0,1183,1171,198,560,626,62,397.0,29.0,692,6.0
Zip Code,2020,60604,729,5,313,171,30,77,89,36,8,0,0.0,5.0,729,724,65,441,288,23,127.0,72.0,507,0.0
Zip Code,2020,60605,30950,2608,8678,8486,3408,3377,2282,1702,409,1359,964.0,276.0,29591,28342,3154,16330,14620,2232,5648.0,4272.0,17704,1094.0
Zip Code,2020,60606,3204,96,709,1169,475,373,264,118,0,63,33.0,0.0,3141,3108,301,1679,1525,152,1037.0,50.0,1835,130.0
Zip Code,2020,60607,30306,3362,11381,7946,3004,2194,1315,561,543,1679,1100.0,551.0,28627,26944,1609,14910,15396,2768,6415.0,3878.0,16068,1177.0
Zip Code,2020,60608,80011,14068,20182,15269,10053,8276,7137,3407,1619,3964,5777.0,4308.0,76047,65943,8420,35434,44577,37287,11310.0,13763.0,16527,1124.0
Zip Code,2020,60609,60551,15379,11640,8023,8382,6892,5364,3810,1061,4004,6189.0,5172.0,56547,45172,7675,30569,29982,31898,4332.0,14380.0,9321,620.0
Zip Code,2020,60610,40954,3385,12949,8874,3303,3753,4522,2975,1193,1292,1049.0,1036.0,39662,37569,6136,21419,19535,2316,4169.0,5120.0,27733,1616.0
Zip Code,2020,60611,33937,2127,8405,6959,3061,4126,4435,3468,1356,1000,641.0,486.0,32937,31810,7036,18054,15883,1946,7015.0,957.0,23261,758.0
Zip Code,2020,60612,32240,6760,6933,5287,4255,3855,3051,1393,706,1793,2594.0,2042.0,30447,25480,3448,17225,15015,4749,1518.0,17357.0,7634,982.0
Zip Code,2020,60613,51399,6285,14297,13342,5915,4930,3289,2065,1276,2879,2157.0,1249.0,48520,45114,4670,26339,25060,6166,3413.0,3170.0,36979,1671.0
Zip Code,2020,60614,72391,10603,24659,14106,7173,6262,5552,2726,1310,3479,4043.0,3031.0,68912,61788,6427,36172,36219,4456,5249.0,2678.0,57985,2023.0
Zip Code,2020,60615,41198,6110,11393,6135,4195,4609,4863,2440,1453,2016,2176.0,1918.0,39182,35088,6131,22639,18559,2258,3373.0,21733.0,11747,2087.0
Zip Code,2020,60616,52557,7134,11280,8908,6237,7390,6164,2968,2476,2258,2360.0,2487.0,50299,45423,8787,27430,25127,4029,20303.0,12577.0,14378,1270.0
Zip Code,2020,60617,82101,20843,13979,9578,10027,10431,8133,5569,3541,4898,7579.0,8366.0,77203,61258,13343,45093,37008,31311,194.0,45210.0,4830,556.0
Zip Code,2020,60618,94646,20813,16088,20651,14846,9977,6466,4014,1791,7002,7973.0,5785.0,87644,73833,8360,47492,47154,37188,6237.0,2208.0,45370,3643.0
Zip Code,2020,60619,61372,12667,9118,7547,6800,9223,8048,4472,3497,3457,4505.0,4702.0,57915,48705,11362,34416,26956,1050,173.0,58359.0,613,1177.0
Zip Code,2020,60620,68761,16203,10753,7954,8243,9215,7759,5081,3553,4177,6390.0,5636.0,64584,52558,12360,37732,31029,1680,233.0,65198.0,797,853.0
Zip Code,2020,60621,26736,7157,4311,2784,2662,3654,3236,1580,1352,2442,2644.0,2064.0,24294,19579,4145,14588,12148,908,131.0,24744.0,389,564.0
Zip Code,2020,60622,52957,7103,14013,16274,6717,3990,2471,1373,1016,3220,2199.0,1670.0,49737,45854,3572,26139,26818,11265,2401.0,2833.0,34127,2331.0
Zip Code,2020,60623,77732,20657,14285,11701,9476,8424,6855,4615,1719,5313,8361.0,6983.0,72419,57075,9465,39368,38364,51970,213.0,22214.0,2989,346.0
Zip Code,2020,60624,35054,9336,6757,4366,4094,4253,3516,1640,1092,2729,3849.0,2748.0,32325,25718,4204,18277,16777,2589,48.0,30583.0,1176,658.0
